City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Rocky Mountain House,CA,76.75,broken clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
540,Baherden,TM,87.03,clear sky,38.4362,57.4316,
541,Boguchany,RU,78.55,clear sky,58.3814,97.4531,Uyut
542,Courtenay,CA,84.99,few clouds,49.6866,-124.9936,Bayview Hotel
543,Amga,RU,75.42,scattered clouds,60.8953,131.9608,Algys
546,Kavaratti,IN,82.0,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
550,Kamaishi,JP,83.35,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
552,Alice,US,89.02,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
553,Pontianak,ID,84.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
556,Methoni,GR,77.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
558,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
560,Kudahuvadhoo,MV,81.95,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
561,Enumclaw,US,83.43,clear sky,47.2043,-121.9915,Cedars Inn
562,Salinopolis,BR,76.37,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
566,Galesong,ID,78.82,clear sky,-5.3166,119.3661,Sapriadi Appy
568,Yichang,CN,87.39,light rain,30.7144,111.2847,Gezhouba Hotel
569,Pangai,TO,78.15,clear sky,-19.8,-174.35,Ha'apai Beach Resort
571,Ciudad Bolivar,VE,78.24,overcast clouds,8.1222,-63.5497,Hotel Edi
573,Mecca,SA,85.51,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
576,Teya,RU,78.4,clear sky,60.3778,92.6267,
577,Champerico,GT,83.73,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
578,Vung Tau,VN,82.02,overcast clouds,10.346,107.0843,Green hotel
580,Bastia,FR,76.33,broken clouds,42.6667,9.3333,Hotel Santa Maria
583,Qandala,SO,86.07,overcast clouds,11.472,49.8728,
